# VWRP holdings from Vanguard's export, data as at 31 Aug 2026.
# Trimmed to the 626 holdings that could plausibly reach the top 150 within a year:
# the 150th carries 0.1083%, everything here is above 0.0271% (a 4x move). 82.3% of the fund.
#
# vanguard_weight is the fund's REAL published weight, not an estimate.
ticker,region,vanguard_weight,name
PLD,US,0.120200,Prologis Inc
MC.PA,FR,0.119600,LVMH Moet Hennessy Louis Vuitton SE
8411.T,JP,0.118600,Mizuho Financial Group Inc
PGR,US,0.118100,Progressive Corp/The
CFR.SW,CH,0.116900,Cie Financiere Richemont SA
ENR.DE,DE,0.114400,Siemens Energy AG
9984.T,JP,0.114200,SoftBank Group Corp
PH,US,0.113400,Parker-Hannifin Corp
SBUX,US,0.111600,Starbucks Corp
ADBE,US,0.110900,Adobe Inc
BMO.TO,CA,0.110400,Bank of Montreal
ISP.MI,IT,0.110200,Intesa Sanpaolo SpA
CVS,US,0.110200,CVS Health Corp
BNP.PA,FR,0.109000,BNP Paribas SA
GLW,US,0.108500,Corning Inc
CB,US,0.108300,Chubb Ltd
D05.SI,SG,0.108300,DBS Group Holdings Ltd
LOW,US,0.107100,Lowe's Cos Inc
ACN,US,0.106700,Accenture PLC
MDT,US,0.105700,Medtronic PLC
BATS.L,GB,0.105500,British American Tobacco PLC
LMT,US,0.104700,Lockheed Martin Corp
ADP,US,0.104400,Automatic Data Processing Inc
MO,US,0.104400,Altria Group Inc
DTE.DE,DE,0.103000,Deutsche Telekom AG
SYK,US,0.102900,Stryker Corp
BP.L,GB,0.102300,BP PLC
MPC,US,0.102300,Marathon Petroleum Corp
SNOW,US,0.102300,Snowflake Inc
FCX,US,0.101900,Freeport-McMoRan Inc
2308.TW,TW,0.101500,Delta Electronics Inc
005935.KS,KR,0.101300,Samsung Electronics Co Ltd
BNS.TO,CA,0.101000,Bank of Nova Scotia/The
0939.HK,HK,0.101000,China Construction Bank Corp
MCK,US,0.100900,McKesson Corp
285A.T,JP,0.099800,Kioxia Holdings Corp
ENB.TO,CA,0.099600,Enbridge Inc
BX,US,0.099200,Blackstone Inc
BNY,US,0.099000,Bank of New York Mellon Corp/The
ZURN.SW,CH,0.098600,Zurich Insurance Group AG
VLO,US,0.098200,Valero Energy Corp
RIO.L,GB,0.097900,Rio Tinto PLC
FTNT,US,0.097900,Fortinet Inc
CNQ.TO,CA,0.097000,Canadian Natural Resources Ltd
CM.TO,CA,0.095900,Canadian Imperial Bank of Commerce
AEM.TO,CA,0.095400,Agnico Eagle Mines Ltd
CME,US,0.095000,CME Group Inc
EQIX,US,0.094200,Equinix Inc
INGA.AS,NL,0.094100,ING Groep NV
SO,US,0.093900,Southern Co/The
1299.HK,HK,0.093600,AIA Group Ltd
