# VWRP holdings from Vanguard's export, data as at 31 Aug 2026.
# Trimmed to the 626 holdings that could plausibly reach the top 150 within a year:
# the 150th carries 0.1083%, everything here is above 0.0271% (a 4x move). 82.3% of the fund.
#
# vanguard_weight is the fund's REAL published weight, not an estimate.
ticker,region,vanguard_weight,name
RKLB,US,0.031400,Rocket Lab Corp
EQT,US,0.031400,EQT Corp
STMMI.MI,IT,0.031300,STMicroelectronics NV
MTB,US,0.031300,M&T Bank Corp
6954.T,JP,0.031200,FANUC Corp
WOW.AX,AU,0.031200,Woolworths Group Ltd
ACGL,US,0.031100,Arch Capital Group Ltd
TECK-B.TO,CA,0.031000,Teck Resources Ltd
2887.TW,TW,0.031000,TS Financial Holding Co Ltd
ZTS,US,0.030900,Zoetis Inc
6723.T,JP,0.030900,Renesas Electronics Corp
HBAN,US,0.030800,Huntington Bancshares Inc/OH
1180.SR,SA,0.030800,Saudi National Bank/The
DOL.TO,CA,0.030700,Dollarama Inc
PETR4.SA,BR,0.030700,Petroleo Brasileiro SA
BIIB,US,0.030700,Biogen Inc
NTRS,US,0.030700,Northern Trust Corp
VWS.CO,DK,0.030600,Vestas Wind Systems A/S
KR,US,0.030600,Kroger Co/The
IRM,US,0.030600,Iron Mountain Inc
3017.TW,TW,0.030600,Asia Vital Components Co Ltd
OTP.BD,HU,0.030500,OTP Bank Nyrt
MTD,US,0.030400,Mettler-Toledo International Inc
M&M.NS,IN,0.030300,Mahindra & Mahindra Ltd
ILMN,US,0.030100,Illumina Inc
STLD,US,0.029900,Steel Dynamics Inc
4568.T,JP,0.029900,Daiichi Sankyo Co Ltd
CBK.DE,DE,0.029700,Commerzbank AG
GFNORTEO.MX,MX,0.029700,Grupo Financiero Banorte SAB de CV
6971.T,JP,0.029600,Kyocera Corp
MT.AS,NL,0.029600,ArcelorMittal SA
5108.T,JP,0.029500,Bridgestone Corp
GEHC,US,0.029500,GE HealthCare Technologies Inc
EXR,US,0.029400,Extra Space Storage Inc
CTSH,US,0.029400,Cognizant Technology Solutions Corp
ALNY,US,0.029300,Alnylam Pharmaceuticals Inc
BAJFINANCE.NS,IN,0.029300,Bajaj Finance Ltd
CNC,US,0.029200,Centene Corp
WTW,US,0.029100,Willis Towers Watson PLC
6146.T,JP,0.029100,Disco Corp
SLHN.SW,CH,0.028900,Swiss Life Holding AG
NTAP,US,0.028800,NetApp Inc
HAL,US,0.028700,Halliburton Co
TCL.AX,AU,0.028600,Transurban Group
AD.AS,NL,0.028600,Koninklijke Ahold Delhaize NV
CBOE,US,0.028600,Cboe Global Markets Inc
ON,US,0.028500,ON Semiconductor Corp
8309.T,JP,0.028500,Sumitomo Mitsui Trust Group Inc
EQNR.OL,NO,0.028500,Equinor ASA
SWED-A.ST,SE,0.028300,Swedbank AB
FER.MC,ES,0.028300,Ferrovial NV
AXISBANK.NS,IN,0.028200,Axis Bank Ltd
MLM,US,0.028100,Martin Marietta Materials Inc
LT.NS,IN,0.028000,Larsen & Toubro Ltd
CPRT,US,0.028000,Copart Inc
4062.T,JP,0.028000,Ibiden Co Ltd
GIVN.SW,CH,0.028000,Givaudan SA
ENGI.PA,FR,0.028000,Engie SA
UCB.BR,BE,0.027800,UCB SA
9432.T,JP,0.027800,NTT Inc
TDY,US,0.027800,Teledyne Technologies Inc
VOD.L,GB,0.027700,Vodafone Group PLC
CCL,US,0.027700,Carnival Corp Ltd
FSR.JO,ZA,0.027600,FirstRand Ltd
8604.T,JP,0.027600,Nomura Holdings Inc
CFG,US,0.027500,Citizens Financial Group Inc
AMS.MC,ES,0.027500,Amadeus IT Group SA
FTS.TO,CA,0.027400,Fortis Inc/Canada
AV.L,GB,0.027400,Aviva PLC
IR,US,0.027300,Ingersoll Rand Inc
2802.T,JP,0.027300,Ajinomoto Co Inc
2345.TW,TW,0.027200,Accton Technology Corp
SEB-A.ST,SE,0.027200,Skandinaviska Enskilda Banken AB
CRWV,US,0.027100,Coreweave Inc
9961.HK,HK,0.027100,Trip.com Group Ltd
